 Address, Адрес
Don't Import,Не импортирай
Don't Override Status,Не презаписвай статус
Don't Recompute Tax,Не преизчислявай данък
Don't Reserve Sales Order Qty on Sales Return,Не резервирай количество от поръчка за продажба при връщане
Don't Send Emails,Не изпращай имейли
Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;,"Не кодирай HTML тагове като &lt;script&gt; или символи като &lt; или &gt;, тъй като може да се използват умишлено"
Don't have an account?,Нямате акаунт?
Done,Готово
Donut,Поничка
Doors,Врати
Double Declining Balance,Двойно намаляващо салдо
Double click to edit label,Двоен клик за редакция на етикет
Download,Изтегли
Download Backups,Изтегли резервни копия
Download CSV Template,Изтегли CSV шаблон
Download Data,Изтегли данни
Download Files Backup,Изтегли резервно копие на файлове
Download Link,Линк за изтегляне
Download PDF,Изтегли PDF
Download PDF for Supplier,Изтегли PDF за доставчик
Download Report,Изтегли справка
Download Required Materials,Изтегли необходими материали
Download Template,Изтегли шаблон
Download Your Data,Изтеглете вашите данни
Download as CSV,Изтегли като CSV
Download vCard,Изтегли vCard
Download vCards,Изтегли vCards
Downtime,Престой
Downtime (In Hours),Престой (в часове)
Downtime Analysis,Анализ на престои
Downtime Entry,Запис за престой
Downtime Reason,Причина за престой
Dr,Дт
Dr/Cr,Дт/Кт
Draft,Чернова
Drag,Плъзни
Drag & Drop a section here from another tab,Плъзнете и пуснете секция тук от друг раздел
Drag and drop files here or upload from,Плъзнете и пуснете файлове тук или качете от
Drag columns to set order. Column width is set in percentage. The total width should not be more than 100. Columns marked in red will be removed.,Плъзнете колони за подреждане. Ширината е в проценти. Общата ширина не трябва да надвишава 100. Колоните в червено ще бъдат премахнати.
Drag elements from the sidebar to add. Drag them back to trash.,Плъзнете елементи от страничната лента за добавяне. Плъзнете ги обратно за изтриване.
Drag to add state,Плъзнете за добавяне на състояние
Driver,Шофьор
Driver Address,Адрес на шофьор
Driver Email,Имейл на шофьор
Driver Name,Име на шофьор
Driver licence class,Категория шофьорска книжка
Driving License Categories,Категории шофьорска книжка
Driving License Category,Категория шофьорска книжка
Drop Procedures,Изтрий процедури
Drop Ship,Директна доставка
Drop files here,Пуснете файлове тук
Dropdowns,Падащи менюта
Drops existing SQL Procedures and Function setup by Accounts Receivable report,"Изтрива съществуващи SQL процедури и функции, създадени от справка Вземания"
Due Date,Падежна дата
Due Date Based On,Падежна дата на база
Due Date cannot be after {0},Падежната дата не може да бъде след {0}
Due Date cannot be before {0},Падежната дата не може да бъде преди {0}
Due to stock closing entry {0},"Поради запис за приключване на наличности {0}, не можете да преизчислите оценка на артикул преди {1}"
Dunning,Покана за плащане
Dunning Amount,Сума на покана за плащане
Dunning Amount (Company Currency),Сума на покана за плащане (валута на компанията)
Dunning Fee,Такса за покана за плащане
Dunning Letter,Писмо за покана за плащане
Dunning Letter Text,Текст на писмо за покана за плащане
Dunning Level,Ниво на покана за плащане
Dunning Type,Тип покана за плащане
Duplicate,Дублирай
Duplicate Customer Group,Дублирана клиентска група
Duplicate DocType,Дублирай DocType
Duplicate Entry,Дублиран запис
Duplicate Entry. Please check Authorization Rule {0},"Дублиран запис. Моля, проверете правило за оторизация {0}"
Duplicate Filter Name,Дублирано име на филтър
Duplicate Finance Book,Дублирана финансова книга
Duplicate Item Group,Дублирана група артикули
Duplicate Item Under Same Parent,Дублиран артикул под същия родител
Duplicate Name,Дублирано име
Duplicate Operating Component {0} found in Operating Components,Дублиран оперативен компонент {0} е намерен в оперативни компоненти
Duplicate POS Fields,Дублирани POS полета
Duplicate POS Invoices found,Намерени са дублирани POS фактури
Duplicate Payment Schedule selected,Избран е дублиран график за плащане
Duplicate Project with Tasks,Дублирай проект със задачи
Duplicate Sales Invoices found,Намерени са дублирани фактури за продажба
Duplicate Serial Number Error,Грешка: дублиран сериен номер
Duplicate Stock Closing Entry,Дублиран запис за приключване на наличности
Duplicate current row,Дублирай текущия ред
Duplicate customer group found in the customer group table,Намерена е дублирана клиентска група в таблицата
Duplicate entry against the item code {0} and manufacturer {1},Дублиран запис за код на артикул {0} и производител {1}
Duplicate entry: {0}{1},Дублиран запис: {0}{1}
Duplicate field,Дублирано поле
Duplicate item group found in the item group table,Намерена е дублирана група артикули в таблицата
Duplicate project has been created,Дублираният проект е създаден
Duplicate row,Дублирай ред
Duplicate row {0} with same {1},Дублиран ред {0} с еднакъв {1}
Duplicate rows,Дублирай редове
Duplicate {0} found in the table,Дублиран {0} е намерен в таблицата
Duplicate {0} rows,Дублирай {0} реда
Duration,Продължителност
Duration (Days),Продължителност (дни)
Duration in Days,Продължителност в дни
Duties and Taxes,Мита и данъци
Dynamic,Динамичен
Dynamic Condition,Динамично условие
Dynamic Filters,Динамични филтри
Dynamic Filters JSON,Динамични филтри JSON
Dynamic Filters Section,Секция за динамични филтри
Dynamic Link,Динамична връзка
Dynamic Report Filters,Динамични филтри за справка
Dynamic Route,Динамичен маршрут
Dynamic Template,Динамичен шаблон
E-Invoicing Information Missing,Липсва информация за електронно фактуриране
EAN,EAN
EAN-13,EAN-13
EAN-8,EAN-8
EDI,EDI
ERPNext Integrations,Интеграции на ERPNext
ERPNext User ID,Потребителски идентификатор в ERPNext
ESC,ESC
Each Transaction,Всяка операция
Earliest,Най-ранен
Earliest Age,Най-ранна възраст
Earnest Money,Капаро
Edit,Редактирай
Edit Address in Form,Редактирай адрес във формуляр
Edit Auto Email Report Settings,Редактирай настройки за автоматична имейл справка
Edit BOM,Редактирай спецификация
Edit Capacity,Редактирай капацитет
Edit Cart,Редактирай количка
Edit Chart,Редактирай графика
Edit Custom Block,Редактирай потребителски блок
Edit Custom HTML,Редактирай потребителски HTML
Edit DocType,Редактирай DocType
Edit Existing,Редактирай съществуващ
Edit Filter,Редактирай филтър
Edit Filters,Редактирай филтри
Edit Footer,Редактирай долен колонтитул
Edit Format,Редактирай формат
Edit Full Form,Редактирай пълен формуляр
Edit HTML,Редактирай HTML
Edit Header,Редактирай заглавка
Edit Heading,Редактирай заглавие
Edit Letter Head,Редактирай бланка
Edit Letter Head Footer,Редактирай долен колонтитул на бланка
Edit Links,Редактирай връзки
Edit Not Allowed,Редакцията не е разрешена
Edit Note,Редактирай бележка
Edit Number Card,Редактирай числова карта
Edit Onboarding,Редактирай въвеждане
Edit Posting Date and Time,Редактирай дата и час на осчетоводяване
Edit Print Format,Редактирай формат за печат
Edit Profile,Редактирай профил
Edit Properties,Редактирай свойства
Edit Quick List,Редактирай бърз списък
Edit Receipt,Редактирай разписка
Edit Shortcut,Редактирай пряк път
Edit Sidebar,Редактирай странична лента
Edit Tax Withholding Entries,Редактирай записи за удържане на данък
Edit Values,Редактирай стойности
Edit mode,Режим на редакция
Edit the {0} Doctype,Редактирай DocType {0}
Edit to add content,Редактирай за добавяне на съдържание
Edit your response,Редактирай отговора си
Edit your workflow visually using the Workflow Builder.,Редактирайте работния поток визуално с Конструктора на работни потоци.
Edit {0},Редактирай {0}
Editable Grid,Редактируема таблица
Editing Row,Редактиране на ред
Editing {0},Редактиране на {0}
Editing {0} is not allowed as per POS Profile settings,Редактирането на {0} не е разрешено съгласно настройките на POS профила
Education,Образование
Educational Qualification,Образователна квалификация
Eg. smsgateway.com/api/send_sms.cgi,Напр. smsgateway.com/api/send_sms.cgi
Either 'Selling' or 'Buying' must be selected,"Трябва да бъде избрано „Продажби"" или „Покупки"""
Either Workstation or Workstation Type is mandatory,Работна станция или тип работна станция е задължителен
Either key or IP flag is required.,Необходим е ключ или IP флаг.
Either target qty or target amount is mandatory,Целево количество или целева сума е задължително
Either target qty or target amount is mandatory.,Целево количество или целева сума е задължително.
Electric,Електрически
Electrical,Електрически
Electricity,Електричество
Electricity down,Спиране на ток
Electronic Equipment,Електронно оборудване
Electronic Invoice Register,Регистър на електронни фактури
Element Selector,Селектор на елемент
Email,Имейл
Email Account,Имейл акаунт
Email Account Disabled.,Имейл акаунтът е деактивиран.
Email Account Name,Име на имейл акаунт
Email Account added multiple times,Имейл акаунтът е добавен многократно
Email Account not setup. Please create a new Email Account from Settings > Email Account,"Имейл акаунтът не е настроен. Моля, създайте нов от Настройки > Имейл акаунт"
Email Account {0} Disabled,Имейл акаунт {0} е деактивиран
Email Address,Имейл адрес
Email Address (required),Имейл адрес (задължителен)
Email Address must be unique,"Имейл адресът трябва да бъде уникален, вече се използва в {0}"
Email Address whose Google Contacts are to be synced.,"Имейл адрес, чиито Google контакти ще бъдат синхронизирани."
Email Addresses,Имейл адреси
Email Campaign,Имейл кампания
Email Campaign Error,Грешка в имейл кампания
Email Campaign For ,Имейл кампания за
Email Campaign Send Error,Грешка при изпращане на имейл кампания
Email Details,Детайли на имейл
Email Digest,Имейл обзор
Email Digest Recipient,Получател на имейл обзор
Email Digest Settings,Настройки за имейл обзор
Email Digest: {0},Имейл обзор: {0}
Email Domain,Имейл домейн
Email Flag Queue,Опашка за маркиране на имейл
Email Footer Address,Адрес в долен колонтитул на имейл
Email Group,Имейл група
Email Group Member,Член на имейл група
Email Header,Заглавка на имейл
Email ID,Имейл идентификатор
Email IDs,Имейл идентификатори
Email Id,Имейл идентификатор
Email Inbox,Входяща имейл поща
Email Queue,Опашка за имейли
Email Queue Recipient,Получател от опашка за имейли
Email Queue flushing aborted due to too many failures.,Изпразването на опашката за имейли е прекратено поради твърде много грешки.
Email Queue records.,Записи от опашка за имейли.
Email Receipt,Имейл разписка
Email Reply Help,Помощ за отговор по имейл
Email Retry Limit,Лимит за повторни опити за имейл
Email Rule,Правило за имейл
Email Sent,Имейлът е изпратен
Email Sent At,Имейлът е изпратен на
Email Sent to Supplier {0},Имейлът е изпратен до доставчик {0}
Email Settings,Настройки за имейл
Email Signature,Имейл подпис
Email Status,Статус на имейл
Email Sync Option,Опция за синхронизация на имейл
Email Template,Имейл шаблон
Email Threads on Assigned Document,Имейл нишки по назначен документ
Email To,Имейл до
Email Unsubscribe,Отписване от имейл
Email has been marked as spam,Имейлът е маркиран като спам
Email has been moved to trash,Имейлът е преместен в кошчето
Email is mandatory to create User Email,Имейл е задължителен за създаване на потребителски имейл
Email not sent to {0} (unsubscribed / disabled),Имейлът не е изпратен до {0} (отписан / деактивиран)
Email not verified with {0},Имейлът не е потвърден с {0}
Email or Phone/Mobile of the Contact are mandatory to continue.,Имейл или телефон/мобилен на контакта са задължителни за продължаване.
Email queue is currently suspended. Resume to automatically send other emails.,Опашката за имейли е временно спряна. Продължете за автоматично изпращане.
Email sending undone,Изпращането на имейл е отменено
Email sent successfully.,Имейлът е изпратен успешно.
Email sent to,"Имейл, изпратен до"
Email sent to {0},"Имейл, изпратен до {0}"
Email size {0:.2f} MB exceeds the maximum allowed size of {1:.2f} MB,Размерът на имейла {0:.2f} MB надвишава максимално допустимия от {1:.2f} MB
Email undo window is over. Cannot undo email.,Прозорецът за отмяна на имейл е изтекъл. Не може да се отмени.
Email verification failed.,Потвърждението на имейл е неуспешно.
Email:,Имейл:
Emails,Имейли
Emails Pulled,Извлечени имейли
Emails Queued,Имейли в опашка
Emails are already being pulled from this account.,Имейлите вече се извличат от този акаунт.
Emails are muted,Имейлите са заглушени
Emails will be sent with next possible workflow actions,Имейлите ще бъдат изпратени с възможните следващи действия по работния поток
Embed code copied,Кодът за вграждане е копиран
Emergency Contact,Контакт за спешни случаи
Emergency Contact Name,Име на контакт за спешни случаи
Emergency Phone,Телефон за спешни случаи
Employee,Служител
Employee ,Служител
Employee Advance,Аванс на служител
Employee Advances,Аванси на служители
Employee Benefits Obligation,Задължения за придобивки на служители
Employee Detail,Детайл за служител
Employee Education,Образование на служител
Employee Exit,Напускане на служител
Employee External Work History,Външна трудова история на служител
Employee Group,Група служители
Employee Group Table,Таблица за група служители
Employee ID,Идентификатор на служител
Employee Internal Work History,Вътрешна трудова история на служител
Employee Name,Име на служител
Employee Number,Номер на служител
Employee User Id,Потребителски идентификатор на служител
Employee cannot report to himself.,Служителят не може да се отчита пред самия себе си.
Employee is required,Служителят е задължителен
Employee is required while issuing Asset {0},Служител е необходим при предаване на актив {0}
Employee {0} does not belong to the company {1},Служител {0} не принадлежи на компания {1}
Employee {0} is currently working on another workstation. Please assign another employee.,"Служител {0} в момента работи на друга работна станция. Моля, назначете друг служител."
Employee {0} not found,Служител {0} не е намерен
Employees,Служители
Empty,Празно
Empty To Delete List,Изпразни списъка за изтриване
Empty alias is not allowed,Празен псевдоним не е разрешен
Empty column,Празна колона
Empty string arguments are not allowed,Празни текстови аргументи не са разрешени
Enable,Активирай
Enable Accounting Dimensions,Активирай счетоводни измерения
Enable Action Confirmation,Активирай потвърждение на действие
Enable Address Autocompletion,Активирай автоматично допълване на адрес
Enable Allow Auto Repeat for the doctype {0} in Customize Form,"Активирайте „Разреши автоматично повторение"" за типа документ {0} в Персонализирай формуляр"
Enable Allow Partial Reservation in the Stock Settings to reserve partial stock.,"Активирайте „Разреши частична резервация"" в Настройки на склада за резервиране на частична наличност."
Enable Appointment Scheduling,Активирай планиране на срещи
Enable Auto Email,Активирай автоматичен имейл
Enable Auto Re-Order,Активирай автоматична препоръчка
Enable Auto Reply,Активирай автоматичен отговор
Enable Automatic Linking in Documents,Активирай автоматично свързване в документи
Enable Automatic Party Matching,Активирай автоматично съпоставяне на контрагенти
Enable Capital Work in Progress Accounting,Активирай счетоводство за незавършени капиталови инвестиции
Enable Comments,Активирай коментари
Enable Common Party Accounting,Активирай общо счетоводство за контрагенти
Enable Cut-Off Date on Bulk Delivery Note Creation,Активирай крайна дата при масово създаване на складови разписки
Enable Deferred Expense,Активирай отложен разход
Enable Deferred Revenue,Активирай отложен приход
Enable Discount Accounting for Selling,Активирай счетоводство за отстъпки при продажби
Enable Discounts and Margin,Активирай отстъпки и маржове
Enable Dynamic Client Registration,Активирай динамична клиентска регистрация
Enable Email Notifications,Активирай имейл известия
Enable European Access,Активирай европейски достъп
Enable Fuzzy Matching,Активирай неточно съпоставяне
Enable Google API in Google Settings.,Активирайте Google API в настройките на Google.
Enable Google indexing,Активирай Google индексиране
Enable Health Monitor,Активирай мониторинг на здравето
Enable Immutable Ledger,Активирай неизменяема книга
Enable Incoming,Активирай входящи
Enable Item-wise Inventory Account,Активирай складова сметка по артикул
Enable Loyalty Point Program,Активирай програма за точки за лоялност
Enable Onboarding,Активирай въвеждане
Enable Outgoing,Активирай изходящи
Enable Parallel Reposting,Активирай паралелно преизчисление
Enable Password Policy,Активирай политика за пароли
Enable Perpetual Inventory,Активирай непрекъснато инвентаризиране
Enable Prepared Report,Активирай подготвена справка
Enable Print Server,Активирай сървър за печат
Enable Provisional Accounting For Non Stock Items,Активирай временно счетоводство за нескладови артикули
Enable Push Notification Relay,Активирай relay за push известия
Enable Rate Limit,Активирай ограничение на честота
Enable Raw Printing,Активирай директен печат
Enable Report,Активирай справка
Enable Scheduled Jobs,Активирай планирани задачи
Enable Scheduler,Активирай планировчик
Enable Security,Активирай сигурност
Enable Separate Reposting for GL,Активирай отделно преизчисление за главна книга
Enable Serial / Batch No for Item,Активирай сериен номер / партида за артикул
Enable Social Login,Активирай социален вход
Enable Stock Reservation,Активирай резервация на наличности
Enable System Notification,Активирай системно известие
Enable Tracking Page Views,Активирай проследяване на прегледи на страници
Enable Two Factor Auth,Активирай двуфакторна автентикация
Enable UTM,Активирай UTM
Enable Urchin Tracking Module parameters in Quotation,"Активирай UTM параметри в Оферта, Поръчка за продажба, Фактура за продажба, POS фактура, Потенциален клиент и Складова разписка."
Enable YouTube Tracking,Активирай проследяване в YouTube
Enable cost center,"Активирай разходен център, проекти и други потребителски счетоводни измерения"
Enable developer mode to create a standard Print Template,Активирайте режим за разработчици за създаване на стандартен шаблон за печат
Enable developer mode to create a standard Web Template,Активирайте режим за разработчици за създаване на стандартен уеб шаблон
Enable if on click|||opens modal.,"Активирайте, ако при щракване|||се отваря модален прозорец."
Enable in-app website tracking,Активирай вградено проследяване на уебсайт
Enable it if users want to consider rejected materials to dispatch.,"Активирайте, ако потребителите искат да вземат предвид отхвърлени материали за изпращане."
Enable this checkbox even if you want to set the zero priority,Активирайте тази отметка дори ако искате да зададете нулев приоритет
Enable this option to calculate daily depreciation by considering the total number of days in the entire depreciation period,"Активирайте тази опция за изчисляване на дневна амортизация, като се вземат предвид общият брой дни в целия амортизационен период (включително високосни години) при амортизация на база дневна пропорция"
Enable to apply SLA on every {0},Активирай за прилагане на SLA за всеки {0}
Enable tracking sales commissions,Активирай проследяване на търговски комисиони
Enabled,Активиран
Enabled Scheduler,Планировчикът е активиран
Enabled email inbox for user {0},Активирана е имейл входяща поща за потребител {0}
Enables Calendar and Gantt views.,Активира календарен и Gantt изглед.
Enabling auto reply on an incoming email account will send automated replies to all the synchronized emails. Do you wish to continue?,Активирането на автоматичен отговор за входящ имейл акаунт ще изпраща автоматични отговори на всички синхронизирани имейли. Искате ли да продължите?
Enabling the check box will fetch timesheet on select of a Project in Sales Invoice,Активирането ще извлича отчет за работно време при избор на проект във фактура за продажба
Enabling this checkbox will force each Job Card Time Log to have From Time and To Time,Активирането ще изисква всеки времеви лог в работна карта да има начален и краен час
Enabling this ensures each Purchase Invoice has a unique value in Supplier Invoice No. field within a particular fiscal year,"Активирането гарантира, че всяка фактура за покупка има уникална стойност в полето „Фактура на доставчик №"" в рамките на финансова година"
Enabling this option will allow you to record - <br><br> 1. Advances Received in a <b>Liability Account</b> instead of the <b>Asset Account</b><br><br>2. Advances Paid in an <b>Asset Account</b> instead of the <b> Liability Account</b>,Активирането на тази опция ще позволи да записвате - <br><br> 1. Получени аванси в <b>сметка за задължения</b> вместо в <b>сметка за активи</b><br><br>2. Платени аванси в <b>сметка за активи</b> вместо в <b>сметка за задължения</b>
Enabling this will allow creation of multi-currency invoices against single party account in company currency,Активирането ще позволи създаване на многовалутни фактури по единична сметка на контрагент във валутата на компанията
Enabling this will change the way how cancelled transactions are handled.,Активирането ще промени начина на обработка на анулирани операции.
Enabling this will register your site on a central relay server to send push notifications for all installed apps through Firebase Cloud Messaging. This server only stores user tokens and error logs,Активирането ще регистрира сайта ви на централен relay сървър за изпращане на push известия за всички инсталирани приложения чрез Firebase Cloud Messaging. Сървърът съхранява само потребителски токени и логове за грешки.
Enabling this will submit documents in background,Активирането ще осчетоводява документи във фонов режим
Encashment Date,Дата на осребряване
Encrypt Backups,Криптирай резервни копия
Encryption key is in invalid format!,Ключът за криптиране е в невалиден формат!
Encryption key is invalid! Please check site_config.json,"Ключът за криптиране е невалиден! Моля, проверете site_config.json"
End,Край
End Date,Крайна дата
End Date Field,Поле за крайна дата
End Date cannot be before Start Date!,Крайната дата не може да бъде преди началната!
End Date cannot be before Start Date.,Крайната дата не може да бъде преди началната.
End Date cannot be today.,Крайната дата не може да бъде днес.
End Time,Краен час
End Transit,Край на транзит
End Year,Крайна година
End Year cannot be before Start Year,Крайната година не може да бъде преди началната
End date cannot be before start date,Крайната дата не може да бъде преди началната
End date of current invoice's period,Крайна дата на периода на текущата фактура
End of Life,Край на жизнения цикъл
End of the current subscription period,Край на текущия абонаментен период
Ended At,Приключило на
Endpoints,Крайни точки
Ends on,Завършва на
Energy Point,Енергийна точка
Enforce Time Logs,Задължителни времеви логове
Enough Parts to Build,Достатъчно части за производство
Enqueued By,В опашка от
Enqueued creation of indexes,Създаването на индекси е в опашка
Ensure Delivery Based on Produced Serial No,Гарантирай доставка на база произведен сериен номер
Ensure the user and group search paths are correct.,"Уверете се, че пътищата за търсене на потребител и група са правилни."
Enter API key in Google Settings.,Въведете API ключ в настройките на Google.
Enter Client Id and Client Secret in Google Settings.,Въведете Client Id и Client Secret в настройките на Google.
Enter Code displayed in OTP App.,"Въведете кода, показан в OTP приложението."
Enter Company Details,Въведете данни за компания
Enter Email Recipient(s) in the To,"Въведете получател(и) на имейл в полетата До, CC или BCC"
Enter First and Last name of Employee,"Въведете име и фамилия на служител, на базата на които ще се актуализира пълното име. В операциите ще се извлича пълното име."
Enter Form Type,Въведете тип формуляр
Enter Manually,Въведи ръчно
Enter Serial Nos,Въведете серийни номера
Enter Value,Въведете стойност
Enter Visit Details,Въведете данни за посещение
Enter a name for Routing.,Въведете име за маршрутизация.
Enter a name for the Operation,"Въведете име за операцията, например Рязане."
Enter a name for this Holiday List.,Въведете име за този списък с празници.
Enter a name for this {0},Въведете име за този {0}
Enter amount to be redeemed.,Въведете сума за осребряване.
Enter an Item Code,"Въведете код на артикул, името ще бъде попълнено автоматично при клик в полето за име на артикул."
Enter customer's email,Въведете имейл на клиента
Enter customer's phone number,Въведете телефонен номер на клиента
Enter date to scrap asset,Въведете дата за бракуване на актив
Enter default value fields (keys) and values. If you add multiple values for a field,"Въведете полета и стойности по подразбиране. Ако добавите множество стойности за поле, ще бъде избрана първата. Тези стойности се използват и за задаване на правила за достъп. За списък с полета отидете на „Персонализирай формуляр""."
Enter depreciation details,Въведете данни за амортизация
Enter discount percentage.,Въведете процент на отстъпка.
Enter each serial no in a new line,Въведете всеки сериен номер на нов ред
Enter folder name,Въведете име на папка
Enter list of Options,"Въведете списък с опции, всяка на нов ред."
Enter static url parameters here (Eg. sender=ERPNext,"Въведете статични URL параметри тук (напр. sender=ERPNext, username=ERPNext, password=1234 и др.)"
Enter the Bank Guarantee Number before submitting.,Въведете номера на банковата гаранция преди осчетоводяване.
Enter the Operation,"||||| After that, set the Operation Time in minutes and the table will calculate the Operation Costs based on the Hourly Rate and Operation Time.|||Въведете операцията, таблицата ще извлече автоматично данни като часова ставка и работна станция.|||||||| След това задайте времето на операцията в минути и таблицата ще изчисли стойността на база часова ставка и време."
Enter the Operation,"||||| After that, set the Operation Time in minutes and the table will calculate the Operation Costs based on the Hourly Rate and Operation Time.|||Въведете операцията, таблицата ще извлече автоматично данни като часова ставка и работна станция.|||||||| След това задайте времето на операцията в минути и таблицата ще изчисли стойността на база часова ставка и време."
Enter the name of the Beneficiary before submitting.,Въведете името на бенефициента преди осчетоводяване.
Enter the name of the bank or lending institution before submitting.,Въведете името на банката или кредитната институция преди осчетоводяване.
Enter the opening stock units.,Въведете началните складови единици.
Enter the quantity of the Item that will be manufactured from this Bill of Materials.,"Въведете количеството на артикула, което ще бъде произведено от тази спецификация."
Enter the quantity to manufacture. Raw material Items will be fetched only when this is set.,Въведете количеството за производство. Суровините ще бъдат извлечени само когато е зададено.
Enter url parameter for message,Въведете URL параметър за съобщение
Enter url parameter for receiver nos,Въведете URL параметър за номера на получатели
Enter your password,Въведете паролата си
Enter {0} amount.,Въведете сума за {0}.
Entertainment Expenses,Представителни разходи
Entity,Обект
Entity Name,Име на обект
Entity Type,Тип обект
Entry Type,Тип запис
Equals,Равно на
Equity,Собствен капитал
Equity/Liability Account,Сметка за собствен капитал/задължения
Error,Грешка
Error Description,Описание на грешка
Error Log,Лог за грешки
Error Message,Съобщение за грешка
Error Occurred,Възникна грешка
Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running,"Грешка при свързване с приложението QZ Tray...<br><br> Необходимо е приложението QZ Tray да бъде инсталирано и стартирано за използване на директен печат.<br><br><a target=""_blank"" href=""https://qz.io/download/"">Натиснете тук за изтегляне и инсталиране на QZ Tray</a>.<br> <a target=""_blank"" href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"">Натиснете тук за повече за директен печат</a>."
Error connecting via IMAP/POP3: {e},Грешка при свързване чрез IMAP/POP3: {e}
Error connecting via SMTP: {e},Грешка при свързване чрез SMTP: {e}
Error during caller information update,Грешка при актуализация на информация за обаждащия се
Error evaluating the criteria formula,Грешка при изчисляване на формулата за критерии
Error getting details for {0}: {1},Грешка при извличане на детайли за {0}: {1}
Error has occurred in {0},Възникна грешка в {0}
Error in Client Script,Грешка в клиентски скрипт
Error in Client Script.,Грешка в клиентски скрипт.
Error in Header/Footer Script,Грешка в скрипт за заглавка/долен колонтитул
Error in Notification,Грешка в известие
Error in party matching for Bank Transaction {0},Грешка при съпоставяне на контрагент за банкова транзакция {0}
Error in print format on line {0}: {1},Грешка във формат за печат на ред {0}: {1}
Error in {0}.get_list: {1},Грешка в {0}.get_list: {1}
Error parsing nested filters: {0}. {1},Грешка при анализ на вложени филтри: {0}. {1}
"Error validating ""Ignore User Permissions""","Грешка при валидиране на „Игнорирай потребителски права"""
Error while connecting to email account {0},Грешка при свързване с имейл акаунт {0}
Error while evaluating Notification {0}. Please fix your template.,"Грешка при изчисляване на известие {0}. Моля, коригирайте шаблона."
Error while posting depreciation entries,Грешка при осчетоводяване на записи за амортизация
Error while processing deferred accounting for {0},Грешка при обработка на отложено счетоводство за {0}
Error while reposting item valuation,Грешка при преизчисляване на оценка на артикул
Error {0}: {1},Грешка {0}: {1}
Error: Data missing in table {0},Грешка: Липсват данни в таблица {0}
Error: This asset already has {0} depreciation periods booked.|||					The `depreciation start` date must be at least {1} periods after the `available for use` date.|||					Please correct the dates accordingly.,"					The `depreciation start` date must be at least {1} periods after the `available for use` date.|||					Please correct the dates accordingly.|||Грешка: Този актив вече има {0} осчетоводени амортизационни периода.|||					Датата на начало на амортизацията трябва да бъде поне {1} периода след датата на готовност за ползване.|||					Моля, коригирайте датите."
Error: Value missing for {0}: {1},Грешка: Липсва стойност за {0}: {1}
Error: {0} Row #{1}: Value missing for: {2},Грешка: {0} Ред #{1}: Липсва стойност за: {2}
Error: {0} is mandatory field,Грешка: {0} е задължително поле
Errors,Грешки
Errors Notification,Известие за грешки
Estimated Arrival,Очаквано пристигане
Estimated Cost,Прогнозна себестойност
Estimated Time and Cost,Прогнозно време и себестойност
Evaluate as Expression,Оцени като израз
Evaluation Period,Период на оценка
Even if there are multiple Pricing Rules with highest priority,"Дори при множество ценови правила с най-висок приоритет, се прилагат следните вътрешни приоритети:"
Event,Събитие
Event Category,Категория на събитие
Event Frequency,Честота на събитие
